filename,class_name
9145.jpg,Vegetation
1178.jpg,Diode
14418.jpg,No-Anomaly
17272.jpg,No-Anomaly
3301.jpg,Shadowing
1120.jpg,Diode
19067.jpg,No-Anomaly
15713.jpg,No-Anomaly
1672.jpg,Diode
6786.jpg,Hot-Spot
6313.jpg,Cell
2718.jpg,Shadowing
19282.jpg,No-Anomaly
12146.jpg,No-Anomaly
14772.jpg,No-Anomaly
15434.jpg,No-Anomaly
9539.jpg,Vegetation
18798.jpg,No-Anomaly
3971.jpg,Cell-Multi
8634.jpg,Vegetation
7018.jpg,Cracking
12425.jpg,No-Anomaly
4909.jpg,Cell
11031.jpg,No-Anomaly
19928.jpg,No-Anomaly
8107.jpg,Hot-Spot-Multi
19894.jpg,No-Anomaly
4557.jpg,Cell-Multi
15729.jpg,No-Anomaly
4771.jpg,Cell-Multi
19941.jpg,No-Anomaly
11409.jpg,No-Anomaly
8887.jpg,Vegetation
6003.jpg,Cell
10001.jpg,No-Anomaly
13716.jpg,No-Anomaly
19766.jpg,No-Anomaly
155.jpg,Offline-Module
9304.jpg,Vegetation
19061.jpg,No-Anomaly
15596.jpg,No-Anomaly
9750.jpg,Vegetation
7157.jpg,Cracking
14543.jpg,No-Anomaly
18917.jpg,No-Anomaly
15705.jpg,No-Anomaly
15247.jpg,No-Anomaly
19599.jpg,No-Anomaly
14323.jpg,No-Anomaly
9551.jpg,Vegetation
9874.jpg,Vegetation
2022.jpg,Diode
18675.jpg,No-Anomaly
10006.jpg,No-Anomaly
1900.jpg,Diode
10008.jpg,No-Anomaly
471.jpg,Offline-Module
18165.jpg,No-Anomaly
15030.jpg,No-Anomaly
1928.jpg,Diode
3315.jpg,Shadowing
16487.jpg,No-Anomaly
6359.jpg,Cell
8864.jpg,Vegetation
17181.jpg,No-Anomaly
17869.jpg,No-Anomaly
7862.jpg,Cracking
7966.jpg,Hot-Spot-Multi
1119.jpg,Diode
15589.jpg,No-Anomaly
3232.jpg,Shadowing
18150.jpg,No-Anomaly
18676.jpg,No-Anomaly
7972.jpg,Hot-Spot-Multi
10069.jpg,No-Anomaly
16307.jpg,No-Anomaly
7996.jpg,Hot-Spot-Multi
9144.jpg,Vegetation
5451.jpg,Cell
15228.jpg,No-Anomaly
5207.jpg,Cell
16030.jpg,No-Anomaly
3134.jpg,Shadowing
6851.jpg,Hot-Spot
10819.jpg,No-Anomaly
10610.jpg,No-Anomaly
4400.jpg,Cell-Multi
6207.jpg,Cell
6399.jpg,Cell
17670.jpg,No-Anomaly
4814.jpg,Cell-Multi
7271.jpg,Cracking
2333.jpg,Diode
12244.jpg,No-Anomaly
1280.jpg,Diode
7802.jpg,Cracking
17789.jpg,No-Anomaly
2146.jpg,Diode
19932.jpg,No-Anomaly
7897.jpg,Cracking
11938.jpg,No-Anomaly
6856.jpg,Hot-Spot
3287.jpg,Shadowing
14763.jpg,No-Anomaly
3950.jpg,Cell-Multi
6322.jpg,Cell
5479.jpg,Cell
4877.jpg,Cell
2969.jpg,Shadowing
7844.jpg,Cracking
7531.jpg,Cracking
6677.jpg,Cell
6517.jpg,Cell
