img_id,label
12454,No-Anomaly
57,Offline-Module
2229,Diode
589,Offline-Module
6489,Cell
891,Diode-Multi
16484,No-Anomaly
2744,Shadowing
11121,No-Anomaly
17650,No-Anomaly
10760,No-Anomaly
1621,Diode
5592,Cell
5071,Cell
6719,Cell
16315,No-Anomaly
16083,No-Anomaly
3951,Cell-Multi
16784,No-Anomaly
8075,Hot-Spot-Multi
1644,Diode
2866,Shadowing
4961,Cell
10076,No-Anomaly
613,Offline-Module
19568,No-Anomaly
7459,Cracking
5787,Cell
1794,Diode
17841,No-Anomaly
15655,No-Anomaly
14328,No-Anomaly
13847,No-Anomaly
6309,Cell
36,Offline-Module
19250,No-Anomaly
16475,No-Anomaly
13507,No-Anomaly
8317,Soiling
12038,No-Anomaly
14166,No-Anomaly
19319,No-Anomaly
369,Offline-Module
19209,No-Anomaly
5639,Cell
15229,No-Anomaly
2261,Diode
15713,No-Anomaly
15402,No-Anomaly
12020,No-Anomaly
6003,Cell
11180,No-Anomaly
9106,Vegetation
5579,Cell
15383,No-Anomaly
18479,No-Anomaly
5779,Cell
5770,Cell
6169,Cell
9059,Vegetation
2008,Diode
6272,Cell
14002,No-Anomaly
17574,No-Anomaly
3522,Shadowing
8464,Vegetation
11282,No-Anomaly
13575,No-Anomaly
15217,No-Anomaly
18939,No-Anomaly
8130,Hot-Spot-Multi
9429,Vegetation
323,Offline-Module
363,Offline-Module
14646,No-Anomaly
14840,No-Anomaly
16813,No-Anomaly
9195,Vegetation
11509,No-Anomaly
4264,Cell-Multi
8690,Vegetation
15096,No-Anomaly
4839,Cell-Multi
16101,No-Anomaly
1545,Diode
8266,Soiling
2480,Diode
11851,No-Anomaly
285,Offline-Module
6986,Cracking
16687,No-Anomaly
2348,Diode
3727,Cell-Multi
13720,No-Anomaly
15052,No-Anomaly
29,Offline-Module
14291,No-Anomaly
13209,No-Anomaly
10380,No-Anomaly
5693,Cell
17293,No-Anomaly
3824,Cell-Multi
7956,Hot-Spot-Multi
11043,No-Anomaly
14752,No-Anomaly
7824,Cracking
15600,No-Anomaly
3102,Shadowing
13542,No-Anomaly
3645,Cell-Multi
11301,No-Anomaly
1543,Diode
6894,Hot-Spot
1073,Diode
17038,No-Anomaly
4113,Cell-Multi
727,Offline-Module
7099,Cracking
601,Offline-Module
13292,No-Anomaly
13050,No-Anomaly
7136,Cracking
11324,No-Anomaly
247,Offline-Module
18763,No-Anomaly
9892,Vegetation
18675,No-Anomaly
2885,Shadowing
4882,Cell
8111,Hot-Spot-Multi
10939,No-Anomaly
13161,No-Anomaly
4060,Cell-Multi
4810,Cell-Multi
1802,Diode
5322,Cell
19430,No-Anomaly
7168,Cracking
5884,Cell
13258,No-Anomaly
17384,No-Anomaly
19275,No-Anomaly
5303,Cell
17820,No-Anomaly
14814,No-Anomaly
10754,No-Anomaly
10700,No-Anomaly
9124,Vegetation
4984,Cell
14157,No-Anomaly
